symbol,timestamp,bid_depth,ask_depth,spread,rsi,macd,bollinger_position
RELIANCE,2025-08-04T21:36:19.813105,0,0,0,50,0,0
TCS,2025-08-04T21:36:20.222323,0,0,0,50,0,0
HDFCBANK,2025-08-04T21:36:20.624206,0,0,0,50,0,0
INFY,2025-08-04T21:36:21.044113,0,0,0,50,0,0
HINDUNILVR,2025-08-04T21:36:21.447270,0,0,0,50,0,0
ICICIBANK,2025-08-04T21:36:21.850828,0,0,0,50,0,0
KOTAKBANK,2025-08-04T21:36:22.251683,0,0,0,50,0,0
SBIN,2025-08-04T21:36:22.664823,0,0,0,50,0,0
BHARTIARTL,2025-08-04T21:36:23.067880,0,0,0,50,0,0
ASIANPAINT,2025-08-04T21:36:23.468639,0,0,0,50,0,0
